country,kg/person_2017,alcconsumption,both.sexes,male,female
Madagascar,13.24,1.32,4.5,2.6,6.3
Burkina Faso,12.75,7.32,4.5,2.2,6.8
Cambodia,12.67,4.71,3.5,2.5,4.5
Indonesia,12.42,0.56,6.9,4.9,9.0
Cameroon,12.27,7.9,9.5,5.2,13.9
Togo,12.1,1.92,7.1,3.4,10.7
Guinea,12.04,0.79,6.6,3.3,9.9
Solomon Islands,11.75,1.37,20.5,16.3,24.7
Chad,11.56,4.39,4.8,2.6,7.0
Uganda,11.55,16.4,4.1,1.5,6.8
Malawi,10.96,1.44,4.7,1.9,7.5
Niger,8.74,0.34,4.7,2.3,7.2
Sierra Leone,8.55,9.48,7.5,3.4,11.6
Mozambique,8.28,2.27,6.0,2.8,8.9
Rwanda,7.93,9.99,4.8,1.6,7.7
Nigeria,7.33,12.72,7.8,4.1,11.5
Ethiopia,7.2,4.1,3.6,1.6,5.6
Sri Lanka,6.5,0.81,5.4,3.0,7.7
Bangladesh,4.27,0.17,3.4,2.2,4.6
India,3.97,2.69,3.8,2.7,4.9
